Id,State_id,Cycle_id,Costs
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,0,11,0
0,0,12,0
0,0,13,0
0,0,14,0
0,0,15,0
0,0,16,0
0,0,17,0
0,0,18,0
0,0,19,0
0,0,20,0
0,0,21,0
0,0,22,0
0,0,23,0
0,0,24,0
0,0,25,0
0,0,26,0
0,0,27,0
0,0,28,0
0,1,1,0
0,1,2,0
0,1,3,6
0,1,4,6
0,1,5,6
0,1,6,6
0,1,7,6
0,1,8,6
0,1,9,6
0,1,10,6
0,1,11,6
0,1,12,6
0,1,13,6
0,1,14,6
0,1,15,6
0,1,16,6
0,1,17,6
0,1,18,6
0,1,19,6
0,1,20,6
0,1,21,6
0,1,22,6
0,1,23,6
0,1,24,6
0,1,25,6
0,1,26,6
0,1,27,6
0,1,28,6
0,2,1,0
0,2,2,0
0,2,3,6
0,2,4,6
0,2,5,6
0,2,6,6
0,2,7,6
0,2,8,6
0,2,9,6
0,2,10,6
0,2,11,6
0,2,12,6
0,2,13,6
0,2,14,6
0,2,15,6
0,2,16,6
0,2,17,6
0,2,18,6
0,2,19,6
0,2,20,6
0,2,21,6
0,2,22,6
0,2,23,6
0,2,24,6
0,2,25,6
0,2,26,6
0,2,27,6
0,2,28,6
0,3,1,0
0,3,2,0
0,3,3,6
0,3,4,6
0,3,5,6
0,3,6,6
0,3,7,6
0,3,8,6
0,3,9,6
0,3,10,6
0,3,11,6
0,3,12,6
0,3,13,6
0,3,14,6
0,3,15,6
0,3,16,6
0,3,17,6
0,3,18,6
0,3,19,6
0,3,20,6
0,3,21,6
0,3,22,6
0,3,23,6
0,3,24,6
0,3,25,6
0,3,26,6
0,3,27,6
0,3,28,6
0,4,1,0
0,4,2,0
0,4,3,6
0,4,4,6
0,4,5,6
0,4,6,6
0,4,7,6
0,4,8,6
0,4,9,6
0,4,10,6
0,4,11,6
0,4,12,6
0,4,13,6
0,4,14,6
0,4,15,6
0,4,16,6
0,4,17,6
0,4,18,6
0,4,19,6
0,4,20,6
0,4,21,6
0,4,22,6
0,4,23,6
0,4,24,6
0,4,25,6
0,4,26,6
0,4,27,6
0,4,28,6
0,5,1,0
0,5,2,0
0,5,3,6
0,5,4,6
0,5,5,6
0,5,6,6
0,5,7,6
0,5,8,6
0,5,9,6
0,5,10,6
0,5,11,6
0,5,12,6
0,5,13,6
0,5,14,6
0,5,15,6
0,5,16,6
0,5,17,6
0,5,18,6
0,5,19,6
0,5,20,6
0,5,21,6
0,5,22,6
0,5,23,6
0,5,24,6
0,5,25,6
0,5,26,6
0,5,27,6
0,5,28,6
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,6,8,0
0,6,9,6
0,6,10,6
0,6,11,6
0,6,12,6
0,6,13,6
0,6,14,6
0,6,15,6
0,6,16,6
0,6,17,6
0,6,18,6
0,6,19,6
0,6,20,6
0,6,21,6
0,6,22,6
0,6,23,6
0,6,24,6
0,6,25,6
0,6,26,6
0,6,27,6
0,6,28,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,6
0,7,6,6
0,7,7,6
0,7,8,6
0,7,9,6
0,7,10,6
0,7,11,6
0,7,12,6
0,7,13,6
0,7,14,6
0,7,15,6
0,7,16,6
0,7,17,6
0,7,18,6
0,7,19,6
0,7,20,6
0,7,21,6
0,7,22,6
0,7,23,6
0,7,24,6
0,7,25,6
0,7,26,6
0,7,27,6
0,7,28,6
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,6
0,8,5,6
0,8,6,6
0,8,7,6
0,8,8,6
0,8,9,6
0,8,10,6
0,8,11,6
0,8,12,6
0,8,13,6
0,8,14,6
0,8,15,6
0,8,16,6
0,8,17,6
0,8,18,6
0,8,19,6
0,8,20,6
0,8,21,6
0,8,22,6
0,8,23,6
0,8,24,6
0,8,25,6
0,8,26,6
0,8,27,6
0,8,28,6
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,6
0,9,5,6
0,9,6,6
0,9,7,6
0,9,8,6
0,9,9,6
0,9,10,6
0,9,11,6
0,9,12,6
0,9,13,6
0,9,14,6
0,9,15,6
0,9,16,6
0,9,17,6
0,9,18,6
0,9,19,6
0,9,20,6
0,9,21,6
0,9,22,6
0,9,23,6
0,9,24,6
0,9,25,6
0,9,26,6
0,9,27,6
0,9,28,6
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,10,11,0
0,10,12,0
0,10,13,0
0,10,14,0
0,10,15,0
0,10,16,0
0,10,17,0
0,10,18,0
0,10,19,0
0,10,20,0
0,10,21,0
0,10,22,0
0,10,23,0
0,10,24,0
0,10,25,0
0,10,26,0
0,10,27,0
0,10,28,0
0,11,1,0
0,11,2,0
0,11,3,6
0,11,4,6
0,11,5,6
0,11,6,6
0,11,7,6
0,11,8,6
0,11,9,6
0,11,10,6
0,11,11,6
0,11,12,6
0,11,13,6
0,11,14,6
0,11,15,6
0,11,16,6
0,11,17,6
0,11,18,6
0,11,19,6
0,11,20,6
0,11,21,6
0,11,22,6
0,11,23,6
0,11,24,6
0,11,25,6
0,11,26,6
0,11,27,6
